,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
39,HighJump,0.0,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
38,HeadMassage,0.0,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
100,YoYo,0.0,gat,homegirl,dun,homeboy,takin,childs room,japanese garden,rice paddy,sushi bar,kindergarden classroom
14,BodyWeightSquats,0.0,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
22,CricketBowling,0.0,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
26,Drumming,0.0,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
12,BlowDryHair,0.0,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
36,HandstandPushups,0.0,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
20,CleanAndJerk,0.0,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
27,Fencing,0.0,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
13,BlowingCandles,0.0,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
19,BrushingTeeth,0.0,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
9,BenchPress,0.0,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
18,BreastStroke,0.0,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
31,FrontCrawl,0.0,front,back,back,back,down,elevator door,porch,doorway outdoor,ball pit,engine room
17,BoxingSpeedBag,0.0,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
4,BalanceBeam,0.0,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
2,Archery,0.0,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
1,ApplyLipstick,0.0,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
34,HammerThrow,0.0,hammer,hammer,hammer,monkey-wrench,wrench,ball pit,lock chamber,rope bridge,rock arch,fire escape
35,Hammering,0.0,hammer,hammer,hammer,bludgeon,chisel,watering hole,lock chamber,swimming hole,elevator door,ball pit
30,FrisbeeCatch,0.0,catch,Frisbee,ball,ball,ball,ball pit,volleyball court outdoor,soccer field,baseball field,fire escape
23,CricketShot,0.0,cricket,cricket,cricketer,wicket,wicket,bowling alley,football field,ball pit,baseball field,soccer field
83,SoccerJuggling,0.006802721088435374,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
98,WallPushups,0.007692307692307693,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
79,SkateBoarding,0.008333333333333333,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
25,Diving,0.013333333333333334,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
67,PoleVault,0.013422818791946308,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
0,ApplyEyeMakeup,0.013793103448275862,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
88,Swing,0.030534351145038167,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
5,BandMarching,0.04516129032258064,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
54,MoppingFloor,0.045454545454545456,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
8,BasketballDunk,0.04580152671755725,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
48,Kayaking,0.04964539007092199,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
99,WritingOnBoard,0.05921052631578947,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
77,ShavingBeard,0.062111801242236024,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
37,HandstandWalking,0.06306306306306306,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
53,Mixing,0.07352941176470588,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
41,HorseRiding,0.08536585365853659,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
10,Biking,0.08955223880597014,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
91,TennisSwing,0.1144578313253012,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
52,MilitaryParade,0.12,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
90,TaiChi,0.13,guan,gong,,tam,koto,zen garden,martial arts gym,japanese garden,pagoda,temple asia
57,PizzaTossing,0.1415929203539823,pizza,pasta,lasagna,meatball,flatbread,pizzeria,fastfood restaurant,sushi bar,restaurant kitchen,ice cream parlor
93,TrampolineJumping,0.14285714285714285,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
75,Rowing,0.145985401459854,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
29,FloorGymnastics,0.152,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
94,Typing,0.18382352941176472,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
24,CuttingInKitchen,0.20909090909090908,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
21,CliffDiving,0.35507246376811596,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
16,BoxingPunchingBag,0.3558282208588957,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
3,BabyCrawling,0.44696969696969696,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
80,Skiing,0.6,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
82,SkyDiving,0.6090909090909091,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
7,Basketball,0.6268656716417911,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
28,FieldHockeyPenalty,0.6428571428571429,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
84,SoccerPenalty,0.7737226277372263,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
63,PlayingPiano,0.8285714285714286,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
32,GolfSwing,0.8705035971223022,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
87,Surfing,0.873015873015873,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
33,Haircut,0.8923076923076924,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
6,BaseballPitch,0.9266666666666666,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
72,Rafting,0.9459459459459459,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
40,HorseRace,0.9516129032258065,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
11,Billiards,0.9933333333333333,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
15,Bowling,0.9935483870967742,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
43,IceDancing,1.0,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
