,action_name,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
22,MilitaryParade,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
23,MoppingFloor,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
24,PizzaTossing,pizza,pasta,lasagna,meatball,flatbread,pizzeria,fastfood restaurant,sushi bar,restaurant kitchen,ice cream parlor
25,PlayingCello,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
26,PlayingDaf,piano,violin,clarinet,lute,bongo,soccer field,orchestra pit,football field,music studio,synagogue outdoor
27,PlayingFlute,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
28,PlayingSitar,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
29,PlayingViolin,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
30,PoleVault,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
31,Punch,punch,punch,haymaker,pack,pack,boxing ring,watering hole,ice cream parlor,ice shelf,ball pit
32,RockClimbingIndoor,rock,rock,climber,crag,mountain,rock arch,mountain,cliff,crevasse,canyon
33,SalsaSpin,salsa,guacamole,tostada,enchilada,hummus,ball pit,bowling alley,ballroom,ice cream parlor,sushi bar
34,Shotput,javelin,thrower,judo,athlete,vaulter,athletic field outdoor,baseball field,basketball court indoor,football field,soccer field
35,SkateBoarding,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
36,Skiing,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
37,SkyDiving,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
38,SoccerJuggling,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
39,SumoWrestling,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
40,Swing,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
41,TaiChi,guan,gong,nan,tam,koto,zen garden,martial arts gym,japanese garden,pagoda,temple asia
42,TennisSwing,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
43,ThrowDiscus,javelin,thrower,monkey-wrench,hammer,hammer,ball pit,athletic field outdoor,baseball field,bow window indoor,wheat field
44,Typing,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
45,UnevenBars,bar,bar,bar,rough,brittle,wet bar,bar,sushi bar,ice skating rink indoor,ice skating rink outdoor
46,WalkingWithDog,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
47,WallPushups,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
48,WritingOnBoard,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
49,YoYo,gat,homegirl,dun,homeboy,takin,childs room,japanese garden,rice paddy,sushi bar,kindergarden classroom
