,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
25,Diving,0.16666666666666666,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
53,Mixing,0.17647058823529413,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
21,CliffDiving,0.21014492753623187,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
77,ShavingBeard,0.2111801242236025,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
97,WalkingWithDog,0.21951219512195122,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
65,PlayingTabla,0.22522522522522523,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
42,HulaHoop,0.256,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
19,BrushingTeeth,0.2595419847328244,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
82,SkyDiving,0.2727272727272727,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
7,Basketball,0.29850746268656714,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
3,BabyCrawling,0.3106060606060606,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
5,BandMarching,0.3225806451612903,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
52,MilitaryParade,0.328,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
99,WritingOnBoard,0.34210526315789475,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
72,Rafting,0.3783783783783784,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
28,FieldHockeyPenalty,0.38095238095238093,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
14,BodyWeightSquats,0.39285714285714285,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
67,PoleVault,0.3959731543624161,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
49,Knitting,0.4065040650406504,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
48,Kayaking,0.45390070921985815,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
13,BlowingCandles,0.47706422018348627,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
29,FloorGymnastics,0.512,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
22,CricketBowling,0.5323741007194245,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
2,Archery,0.5724137931034483,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
93,TrampolineJumping,0.5882352941176471,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
27,Fencing,0.6126126126126126,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
41,HorseRiding,0.6219512195121951,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
63,PlayingPiano,0.6285714285714286,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
88,Swing,0.6335877862595419,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
8,BasketballDunk,0.6412213740458015,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
0,ApplyEyeMakeup,0.6689655172413793,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
91,TennisSwing,0.6746987951807228,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
6,BaseballPitch,0.6933333333333334,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
80,Skiing,0.7481481481481481,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
26,Drumming,0.7515527950310559,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
94,Typing,0.7573529411764706,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
61,PlayingFlute,0.7935483870967742,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
10,Biking,0.835820895522388,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
62,PlayingGuitar,0.8375,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
33,Haircut,0.8615384615384616,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
79,SkateBoarding,0.875,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
64,PlayingSitar,0.8853503184713376,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
40,HorseRace,0.8951612903225806,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
86,SumoWrestling,0.896551724137931,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
87,Surfing,0.9126984126984127,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
32,GolfSwing,0.920863309352518,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
58,PlayingCello,0.926829268292683,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
75,Rowing,0.9635036496350365,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
15,Bowling,1.0,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
