,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
7,Basketball,0.208955223880597,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
65,PlayingTabla,0.23423423423423423,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
97,WalkingWithDog,0.23577235772357724,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
99,WritingOnBoard,0.24342105263157895,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
16,BoxingPunchingBag,0.24539877300613497,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
67,PoleVault,0.28859060402684567,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
48,Kayaking,0.3049645390070922,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
52,MilitaryParade,0.336,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
49,Knitting,0.34146341463414637,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
21,CliffDiving,0.35507246376811596,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
42,HulaHoop,0.368,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
53,Mixing,0.4117647058823529,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
14,BodyWeightSquats,0.41964285714285715,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
13,BlowingCandles,0.42201834862385323,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
33,Haircut,0.45384615384615384,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
66,PlayingViolin,0.48,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
77,ShavingBeard,0.5031055900621118,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
22,CricketBowling,0.5179856115107914,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
84,SoccerPenalty,0.5474452554744526,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
27,Fencing,0.5585585585585585,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
88,Swing,0.5648854961832062,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
29,FloorGymnastics,0.576,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
5,BandMarching,0.5806451612903226,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
62,PlayingGuitar,0.6,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
40,HorseRace,0.6129032258064516,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
2,Archery,0.6137931034482759,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
94,Typing,0.6617647058823529,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
93,TrampolineJumping,0.6638655462184874,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
41,HorseRiding,0.676829268292683,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
25,Diving,0.6933333333333334,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
0,ApplyEyeMakeup,0.696551724137931,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
91,TennisSwing,0.7108433734939759,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
61,PlayingFlute,0.7419354838709677,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
80,Skiing,0.7481481481481481,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
58,PlayingCello,0.7621951219512195,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
26,Drumming,0.7639751552795031,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
87,Surfing,0.7857142857142857,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
63,PlayingPiano,0.8285714285714286,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
79,SkateBoarding,0.85,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
32,GolfSwing,0.8561151079136691,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
64,PlayingSitar,0.8662420382165605,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
6,BaseballPitch,0.88,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
10,Biking,0.8955223880597015,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
86,SumoWrestling,0.9051724137931034,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
75,Rowing,0.9124087591240876,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
11,Billiards,1.0,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
